,Q2,x,z,pt
237,2.19,0.16,0.65,0.6500000000000001
238,2.19,0.16,0.65,0.7500000000000002
239,2.19,0.16,0.65,0.8500000000000002
240,2.19,0.16,0.65,0.9500000000000002
241,2.19,0.16,0.65,1.0500000000000003
242,2.19,0.16,0.7500000000000001,0.05
243,2.19,0.16,0.7500000000000001,0.15000000000000002
244,2.19,0.16,0.7500000000000001,0.25000000000000006
245,2.19,0.16,0.7500000000000001,0.35000000000000003
246,2.19,0.16,0.7500000000000001,0.45000000000000007
247,2.19,0.16,0.7500000000000001,0.5500000000000002
248,2.19,0.16,0.7500000000000001,0.6500000000000001
249,2.19,0.16,0.7500000000000001,0.7500000000000002
250,2.19,0.16,0.7500000000000001,0.8500000000000002
251,2.19,0.16,0.7500000000000001,0.9500000000000002
252,2.19,0.16,0.7500000000000001,1.0500000000000003
253,2.19,0.16,0.8500000000000001,0.05
254,2.19,0.16,0.8500000000000001,0.15000000000000002
255,2.19,0.16,0.8500000000000001,0.25000000000000006
256,2.19,0.16,0.8500000000000001,0.35000000000000003
257,2.19,0.16,0.8500000000000001,0.45000000000000007
258,2.19,0.16,0.8500000000000001,0.5500000000000002
259,2.19,0.16,0.8500000000000001,0.6500000000000001
260,2.19,0.16,0.8500000000000001,0.7500000000000002
261,2.19,0.16,0.8500000000000001,0.8500000000000002
262,2.19,0.16,0.8500000000000001,0.9500000000000002
263,2.19,0.16,0.8500000000000001,1.0500000000000003
264,2.22,0.26,0.15,0.05
265,2.22,0.26,0.15,0.15000000000000002
266,2.22,0.26,0.15,0.25000000000000006
267,2.22,0.26,0.15,0.35000000000000003
268,2.22,0.26,0.15,0.45000000000000007
269,2.22,0.26,0.15,0.5500000000000002
270,2.22,0.26,0.15,0.6500000000000001
271,2.22,0.26,0.15,0.7500000000000002
272,2.22,0.26,0.15,0.8500000000000002
273,2.22,0.26,0.15,0.9500000000000002
274,2.22,0.26,0.15,1.0500000000000003
275,2.22,0.26,0.25,0.05
276,2.22,0.26,0.25,0.15000000000000002
277,2.22,0.26,0.25,0.25000000000000006
278,2.22,0.26,0.25,0.35000000000000003
279,2.22,0.26,0.25,0.45000000000000007
280,2.22,0.26,0.25,0.5500000000000002
281,2.22,0.26,0.25,0.6500000000000001
282,2.22,0.26,0.25,0.7500000000000002
283,2.22,0.26,0.25,0.8500000000000002
284,2.22,0.26,0.25,0.9500000000000002
285,2.22,0.26,0.25,1.0500000000000003
